temp,filtered temp,hum,filtered hum,,1-500,,,
28.5,28.6,37,36.64,,,,,
28.5,28.6,37,36.64,,,,,
28.5,28.6,37,36.64,,,,,
28.5,28.6,37,36.65,,,,,
28.5,28.6,37,36.65,,,,,
28.5,28.6,37,36.65,,,,,
28.5,28.6,37,36.66,,,,,
28.5,28.6,37,36.66,,,,,
28.5,28.6,37,36.66,,,,,
28.5,28.6,37,36.66,,,,,
28.5,28.6,37,36.67,,,,,
28.5,28.6,37,36.67,,,,,
28.5,28.6,37,36.67,,,,,
28.5,28.6,37,36.67,,,,,
28.5,28.6,37,36.68,,,,,
28.5,28.59,37,36.68,,,,,
28.5,28.59,37,36.68,,,,,
28.5,28.59,37,36.68,,,,,
28.5,28.59,37,36.69,,,,,
28.5,28.59,37,36.69,,,,,
28.5,28.59,37,36.69,,,,,
28.5,28.59,37,36.69,,,,,
28.5,28.59,37,36.7,,,,,
28.5,28.59,37,36.7,,,,,
28.5,28.59,37,36.7,,,,,
28.5,28.59,37,36.7,,,,,
28.5,28.59,37,36.7,,,,,
28.5,28.59,37,36.71,,,,,
28.5,28.59,37,36.71,,,,,
28.5,28.59,37,36.71,,,,,
28.5,28.59,37,36.71,,,,,
28.5,28.59,37,36.71,,,,,
28.5,28.59,37,36.72,,,,,
28.5,28.58,37,36.72,,,,,
28.5,28.58,37,36.72,,,,,
28.5,28.58,37,36.72,,,,,
28.5,28.58,37,36.72,,,,,
28.5,28.58,37,36.73,,,,,
28.5,28.58,37,36.73,,,,,
28.5,28.58,37,36.73,,,,,
28.5,28.58,37,36.73,,,,,
28.5,28.58,37,36.73,,,,,
28.5,28.58,37,36.73,,,,,
28.5,28.58,37,36.74,,,,,
28.5,28.58,37,36.74,,,,,
28.5,28.58,37,36.74,,,,,
28.5,28.58,37,36.74,,,,,
28.5,28.58,37,36.74,,,,,
28.5,28.58,37,36.74,,,,,
28.5,28.58,37,36.75,,,,,
28.5,28.58,37,36.75,,,,,
28.5,28.58,37,36.75,,,,,
28.5,28.58,37,36.75,,,,,
28.5,28.58,37,36.75,,,,,
28.5,28.58,37,36.75,,,,,
28.5,28.58,37,36.76,,,,,
28.5,28.57,37,36.76,,,,,
28.5,28.57,37,36.76,,,,,
28.5,28.57,37,36.76,,,,,
28.5,28.57,37,36.76,,,,,
28.5,28.57,37,36.76,,,,,
28.5,28.57,37,36.76,,,,,
28.5,28.57,37,36.77,,,,,
28.5,28.57,37,36.77,,,,,
28.5,28.57,37,36.77,,,,,
28.5,28.57,37,36.77,,,,,
28.5,28.57,37,36.77,,,,,
28.5,28.57,37,36.77,,,,,
28.5,28.57,37,36.77,,,,,
28.5,28.57,37,36.78,,,,,
28.5,28.57,37,36.78,,,,,
28.5,28.57,37,36.78,,,,,
28.5,28.57,37,36.78,,,,,
28.5,28.57,37,36.78,,,,,
28.5,28.57,37,36.78,,,,,
28.5,28.57,37,36.78,,,,,
28.5,28.57,37,36.78,,,,,
28.5,28.57,37,36.78,,,,,
28.5,28.57,37,36.79,,,,,
28.5,28.57,37,36.79,,,,,
28.5,28.57,37,36.79,,,,,
28.5,28.57,37,36.79,,,,,
28.5,28.57,37,36.79,,,,,
28.5,28.57,37,36.79,,,,,
28.5,28.57,37,36.79,,,,,
28.5,28.56,37,36.79,,,,,
28.5,28.56,37,36.8,,,,,
28.5,28.56,37,36.8,,,,,
28.5,28.56,37,36.8,,,,,
28.5,28.56,37,36.8,,,,,
28.5,28.56,37,36.8,,,,,
28.5,28.56,37,36.8,,,,,
28.5,28.56,37,36.8,,,,,
28.5,28.56,37,36.8,,,,,
28.5,28.56,37,36.8,,,,,
28.5,28.56,37,36.8,,,,,
28.5,28.56,37,36.81,,,,,
28.5,28.56,37,36.81,,,,,
28.5,28.56,37,36.81,,,,,
28.5,28.56,37,36.81,,,,,
28.5,28.56,37,36.81,,,,,
28.5,28.56,37,36.81,,,,,
28.5,28.56,37,36.81,,,,,
28.5,28.56,37,36.81,,,,,
28.5,28.56,37,36.81,,,,,
28.5,28.56,37,36.81,,,,,
28.5,28.56,37,36.81,,,,,
28.5,28.56,37,36.82,,,,,
28.5,28.56,37,36.82,,,,,
28.5,28.56,37,36.82,,,,,
28.5,28.56,37,36.82,,,,,
28.5,28.56,37,36.82,,,,,
28.5,28.56,37,36.82,,,,,
28.5,28.56,37,36.82,,,,,
28.5,28.56,37,36.82,,,,,
28.5,28.56,37,36.82,,,,,
28.5,28.56,37,36.82,,,,,
28.5,28.56,37,36.82,,,,,
28.5,28.56,37,36.83,,,,,
28.5,28.56,37,36.83,,,,,
28.5,28.56,37,36.83,,,,,
28.5,28.56,37,36.83,,,,,
28.5,28.56,37,36.83,,,,,
28.5,28.56,37,36.83,,,,,
28.5,28.55,37,36.83,,,,,
28.5,28.55,37,36.83,,,,,
28.5,28.55,37,36.83,,,,,
28.5,28.55,37,36.83,,,,,
28.5,28.55,37,36.83,,,,,
28.5,28.55,37,36.83,,,,,
28.5,28.55,37,36.83,,,,,
28.5,28.55,37,36.84,,,,,
28.5,28.55,37,36.84,,,,,
28.5,28.55,37,36.84,,,,,
28.4,28.55,37,36.84,,,,,
28.3,28.55,37,36.84,,,,,
28.2,28.55,37,36.84,,,,,
28.1,28.55,37,36.84,,,,,
28.1,28.55,37,36.84,,,,,
28,28.54,37,36.84,,,,,
28,28.54,37,36.84,,,,,
28,28.54,37,36.84,,,,,
28,28.54,37,36.84,,,,,
28,28.54,37,36.84,,,,,
28,28.53,37,36.84,,,,,
28,28.53,37,36.85,,,,,
28,28.53,37,36.85,,,,,
28,28.53,37,36.85,,,,,
28,28.53,37,36.85,,,,,
28,28.52,37,36.85,,,,,
28,28.52,37,36.85,,,,,
28,28.52,37,36.85,,,,,
28,28.52,37,36.85,,,,,
28,28.52,37,36.85,,,,,
28,28.52,37,36.85,,,,,
28,28.51,37,36.85,,,,,
28,28.51,37,36.85,,,,,
28,28.51,37,36.85,,,,,
28,28.51,37,36.85,,,,,
28,28.51,37,36.85,,,,,
28,28.5,37,36.85,,,,,
28,28.5,37,36.85,,,,,
28,28.5,37,36.86,,,,,
28,28.5,37,36.86,,,,,
28,28.5,37,36.86,,,,,
28,28.49,37,36.86,,,,,
28,28.49,37,36.86,,,,,
28,28.49,37,36.86,,,,,
28,28.49,37,36.86,,,,,
28,28.49,37,36.86,,,,,
28,28.49,37,36.86,,,,,
28,28.48,37,36.86,,,,,
28,28.48,37,36.86,,,,,
28,28.48,37,36.86,,,,,
28,28.48,37,36.86,,,,,
28,28.48,37,36.86,,,,,
28,28.48,37,36.86,,,,,
28,28.47,37,36.86,,,,,
28,28.47,37,36.86,,,,,
28,28.47,37,36.86,,,,,
28,28.47,37,36.87,,,,,
28,28.47,37,36.87,,,,,
28,28.47,37,36.87,,,,,
28,28.46,37,36.87,,,,,
28,28.46,37,36.87,,,,,
28,28.46,37,36.87,,,,,
28,28.46,37,36.87,,,,,
28,28.46,37,36.87,,,,,
28,28.46,37,36.87,,,,,
28,28.45,37,36.87,,,,,
28,28.45,37,36.87,,,,,
28,28.45,37,36.87,,,,,
28,28.45,37,36.87,,,,,
28,28.45,37,36.87,,,,,
28,28.45,37,36.87,,,,,
28,28.44,37,36.87,,,,,
28,28.44,37,36.87,,,,,
28,28.44,37,36.87,,,,,
28,28.44,37,36.87,,,,,
28,28.44,37,36.87,,,,,
28,28.44,37,36.87,,,,,
28,28.44,37,36.88,,,,,
28,28.43,37,36.88,,,,,
28,28.43,37,36.88,,,,,
28,28.43,37,36.88,,,,,
28,28.43,37,36.88,,,,,
28,28.43,37,36.88,,,,,
28,28.43,37,36.88,,,,,
28,28.42,37,36.88,,,,,
28,28.42,37,36.88,,,,,
28,28.42,37,36.88,,,,,
28,28.42,37,36.88,,,,,
28,28.42,37,36.88,,,,,
28,28.42,37,36.88,,,,,
28,28.42,37,36.88,,,,,
28,28.41,37,36.88,,,,,
28,28.41,37,36.88,,,,,
28,28.41,37,36.88,,,,,
28,28.41,37,36.88,,,,,
28,28.41,37,36.88,,,,,
28,28.41,37,36.88,,,,,
28,28.41,37,36.88,,,,,
28,28.4,37,36.88,,,,,
28,28.4,37,36.88,,,,,
28,28.4,37,36.88,,,,,
28,28.4,37,36.89,,,,,
28,28.4,37,36.89,,,,,
28,28.4,37,36.89,,,,,
28,28.4,37,36.89,,,,,
28,28.4,37,36.89,,,,,
28,28.39,37,36.89,,,,,
28,28.39,37,36.89,,,,,
28,28.39,37,36.89,,,,,
28,28.39,37,36.89,,,,,
28,28.39,37,36.89,,,,,
28,28.39,37,36.89,,,,,
28,28.39,37,36.89,,,,,
28,28.38,37,36.89,,,,,
28,28.38,37,36.89,,,,,
28,28.38,37,36.89,,,,,
28,28.38,37,36.89,,,,,
28,28.38,37,36.89,,,,,
28,28.38,37,36.89,,,,,
28,28.38,37,36.89,,,,,
28,28.38,37,36.89,,,,,
28,28.37,37,36.89,,,,,
28,28.37,37,36.89,,,,,
28,28.37,37,36.89,,,,,
28,28.37,37,36.89,,,,,
28,28.37,37,36.89,,,,,
28,28.37,37,36.89,,,,,
28,28.37,37,36.89,,,,,
28,28.37,37,36.89,,,,,
28,28.37,37,36.89,,,,,
28,28.36,37,36.9,,,,,
28,28.36,37,36.9,,,,,
28,28.36,37,36.9,,,,,
28,28.36,37,36.9,,,,,
28,28.36,37,36.9,,,,,
28,28.36,37,36.9,,,,,
28,28.36,37,36.9,,,,,
28,28.36,37,36.9,,,,,
28,28.35,37,36.9,,,,,
28,28.35,37,36.9,,,,,
28,28.35,37,36.9,,,,,
28,28.35,37,36.9,,,,,
28,28.35,37,36.9,,,,,
28,28.35,37,36.9,,,,,
28,28.35,37,36.9,,,,,
28,28.35,37,36.9,,,,,
28,28.35,37,36.9,,,,,
28,28.34,37,36.9,,,,,
28,28.34,37,36.9,,,,,
28,28.34,37,36.9,,,,,
28,28.34,37,36.9,,,,,
28,28.34,37,36.9,,,,,
28,28.34,37,36.9,,,,,
28,28.34,37,36.9,,,,,
28,28.34,37,36.9,,,,,
28,28.34,37,36.9,,,,,
28,28.34,37,36.9,,,,,
28,28.33,37,36.9,,,,,
28,28.33,37,36.9,,,,,
28,28.33,37,36.9,,,,,
28,28.33,37,36.9,,,,,
28,28.33,37,36.9,,,,,
28,28.33,37,36.9,,,,,
28,28.33,37,36.9,,,,,
28,28.33,38,36.91,,,,,
28,28.33,38,36.91,,,,,
28,28.32,38,36.91,,,,,
28,28.32,37,36.91,,,,,
28,28.32,37,36.91,,,,,
28,28.32,38,36.92,,,,,
28,28.32,37,36.92,,,,,
28,28.32,37,36.92,,,,,
28,28.32,38,36.92,,,,,
28,28.32,38,36.92,,,,,
28,28.32,38,36.93,,,,,
28,28.32,38,36.93,,,,,
28,28.32,38,36.93,,,,,
28,28.31,38,36.94,,,,,
28,28.31,38,36.94,,,,,
28,28.31,38,36.94,,,,,
28,28.31,37,36.94,,,,,
28,28.31,37,36.94,,,,,
28,28.31,38,36.95,,,,,
28,28.31,38,36.95,,,,,
28,28.31,38,36.95,,,,,
28,28.31,38,36.96,,,,,
28,28.31,38,36.96,,,,,
28,28.3,38,36.96,,,,,
28,28.3,38,36.96,,,,,
28,28.3,38,36.97,,,,,
28,28.3,38,36.97,,,,,
28,28.3,38,36.97,,,,,
28,28.3,38,36.98,,,,,
28,28.3,38,36.98,,,,,
28,28.3,38,36.98,,,,,
28,28.3,38,36.99,,,,,
28,28.3,38,36.99,,,,,
28,28.3,38,36.99,,,,,
28,28.3,38,36.99,,,,,
28,28.29,38,37,,,,,
28,28.29,38,37,,,,,
28,28.29,38,37,,,,,
28,28.29,38,37.01,,,,,
28,28.29,38,37.01,,,,,
28,28.29,38,37.01,,,,,
28,28.29,37,37.01,,,,,
28,28.29,37,37.01,,,,,
28,28.29,37,37.01,,,,,
28,28.29,37,37.01,,,,,
28,28.29,38,37.01,,,,,
28,28.28,38,37.02,,,,,
28,28.28,38,37.02,,,,,
28,28.28,38,37.02,,,,,
28,28.28,38,37.03,,,,,
28,28.28,38,37.03,,,,,
28,28.28,38,37.03,,,,,
28,28.28,38,37.04,,,,,
28,28.28,38,37.04,,,,,
28,28.28,38,37.04,,,,,
28,28.28,38,37.04,,,,,
28,28.28,38,37.05,,,,,
28,28.28,38,37.05,,,,,
28,28.28,38,37.05,,,,,
28,28.27,38,37.06,,,,,
28,28.27,38,37.06,,,,,
28,28.27,38,37.06,,,,,
28,28.27,38,37.06,,,,,
28,28.27,38,37.07,,,,,
28,28.27,38,37.07,,,,,
28,28.27,38,37.07,,,,,
28,28.27,38,37.08,,,,,
28,28.27,38,37.08,,,,,
28,28.27,38,37.08,,,,,
28,28.27,38,37.08,,,,,
28,28.27,38,37.09,,,,,
28,28.27,38,37.09,,,,,
28,28.26,38,37.09,,,,,
28,28.26,38,37.1,,,,,
28,28.26,38,37.1,,,,,
28,28.26,38,37.1,,,,,
28,28.26,38,37.1,,,,,
28,28.26,38,37.11,,,,,
28,28.26,38,37.11,,,,,
28,28.26,38,37.11,,,,,
28,28.26,38,37.12,,,,,
28,28.26,38,37.12,,,,,
28,28.26,38,37.12,,,,,
28,28.26,38,37.12,,,,,
28,28.26,38,37.13,,,,,
28,28.26,38,37.13,,,,,
28,28.25,38,37.13,,,,,
28,28.25,38,37.13,,,,,
28,28.25,38,37.14,,,,,
28,28.25,38,37.14,,,,,
28,28.25,38,37.14,,,,,
28,28.25,38,37.15,,,,,
28,28.25,38,37.15,,,,,
28,28.25,38,37.15,,,,,
28,28.25,38,37.15,,,,,
28,28.25,38,37.16,,,,,
28,28.25,37,37.16,,,,,
28,28.25,37,37.16,,,,,
28,28.25,37,37.16,,,,,
28,28.25,37,37.15,,,,,
28,28.25,37,37.15,,,,,
28,28.24,38,37.16,,,,,
28,28.24,38,37.16,,,,,
28,28.24,38,37.16,,,,,
28,28.24,38,37.16,,,,,
28,28.24,38,37.17,,,,,
28,28.24,38,37.17,,,,,
28,28.24,38,37.17,,,,,
28,28.24,38,37.18,,,,,
28,28.24,38,37.18,,,,,
28,28.24,38,37.18,,,,,
28,28.24,38,37.18,,,,,
28,28.24,38,37.19,,,,,
28,28.24,38,37.19,,,,,
28,28.24,38,37.19,,,,,
28,28.24,38,37.19,,,,,
28,28.24,38,37.2,,,,,
28,28.23,38,37.2,,,,,
28,28.23,38,37.2,,,,,
28,28.23,38,37.2,,,,,
28,28.23,38,37.21,,,,,
28,28.23,38,37.21,,,,,
28,28.23,38,37.21,,,,,
28,28.23,38,37.21,,,,,
28,28.23,38,37.22,,,,,
28,28.23,38,37.22,,,,,
28,28.23,38,37.22,,,,,
28,28.23,38,37.22,,,,,
28,28.23,38,37.23,,,,,
28,28.23,38,37.23,,,,,
28,28.23,38,37.23,,,,,
28,28.23,38,37.23,,,,,
28,28.23,38,37.24,,,,,
28,28.23,38,37.24,,,,,
28,28.22,38,37.24,,,,,
28,28.22,38,37.24,,,,,
28,28.22,38,37.25,,,,,
28,28.22,38,37.25,,,,,
28,28.22,38,37.25,,,,,
28,28.22,38,37.25,,,,,
28,28.22,38,37.26,,,,,
28,28.22,38,37.26,,,,,
28,28.22,38,37.26,,,,,
28,28.22,38,37.26,,,,,
28,28.22,38,37.27,,,,,
28,28.22,38,37.27,,,,,
28,28.22,38,37.27,,,,,
28,28.22,38,37.27,,,,,
28,28.22,38,37.28,,,,,
28,28.22,38,37.28,,,,,
28,28.22,38,37.28,,,,,
28,28.22,38,37.28,,,,,
28,28.21,38,37.29,,,,,
28,28.21,38,37.29,,,,,
28,28.21,38,37.29,,,,,
28,28.21,38,37.29,,,,,
28,28.21,38,37.29,,,,,
28,28.21,38,37.3,,,,,
28,28.21,38,37.3,,,,,
28,28.21,38,37.3,,,,,
28,28.21,38,37.3,,,,,
28,28.21,38,37.31,,,,,
28,28.21,38,37.31,,,,,
28,28.21,38,37.31,,,,,
28,28.21,38,37.31,,,,,
28,28.21,38,37.32,,,,,
28,28.21,38,37.32,,,,,
28,28.21,38,37.32,,,,,
28,28.21,38,37.32,,,,,
28,28.21,38,37.32,,,,,
28,28.21,38,37.33,,,,,
28,28.2,38,37.33,,,,,
28,28.2,38,37.33,,,,,
28,28.2,38,37.33,,,,,
28,28.2,38,37.34,,,,,
28,28.2,38,37.34,,,,,
28,28.2,38,37.34,,,,,
28,28.2,38,37.34,,,,,
28,28.2,38,37.34,,,,,
28,28.2,38,37.35,,,,,
28,28.2,38,37.35,,,,,
28,28.2,38,37.35,,,,,
28,28.2,38,37.35,,,,,
28,28.2,38,37.35,,,,,
28,28.2,38,37.36,,,,,
28,28.2,38,37.36,,,,,
28,28.2,38,37.36,,,,,
28,28.2,38,37.36,,,,,
28,28.2,38,37.37,,,,,
28,28.2,38,37.37,,,,,
28,28.2,38,37.37,,,,,
28,28.2,38,37.37,,,,,
28,28.19,38,37.37,,,,,
28,28.19,38,37.38,,,,,
28,28.19,38,37.38,,,,,
28,28.19,38,37.38,,,,,
28,28.19,38,37.38,,,,,
28,28.19,38,37.38,,,,,
28,28.19,38,37.39,,,,,
28,28.19,38,37.39,,,,,
28,28.19,38,37.39,,,,,
28,28.19,38,37.39,,,,,
28,28.19,38,37.39,,,,,
28,28.19,38,37.4,,,,,
28,28.19,38,37.4,,,,,
28,28.19,38,37.4,,,,,
28,28.19,38,37.4,,,,,
28,28.19,38,37.4,,,,,
28,28.19,38,37.41,,,,,
28,28.19,38,37.41,,,,,
28,28.19,38,37.41,,,,,
28,28.19,38,37.41,,,,,
28,28.19,38,37.41,,,,,
28,28.19,38,37.42,,,,,
28,28.19,38,37.42,,,,,
28,28.18,38,37.42,,,,,
28,28.18,38,37.42,,,,,
28,28.18,38,37.42,,,,,
28,28.18,38,37.42,,,,,
28,28.18,38,37.43,,,,,
28,28.18,38,37.43,,,,,
28,28.18,38,37.43,,,,,
28,28.18,38,37.43,,,,,
28,28.18,38,37.43,,,,,
28,28.18,38,37.44,,,,,
28,28.18,38,37.44,,,,,
28,28.18,38,37.44,,,,,
28,28.18,38,37.44,,,,,
28,28.18,38,37.44,,,,,
28,28.18,38,37.44,,,,,
28,28.18,38,37.45,,,,,
28,28.18,38,37.45,,,,,
28,28.18,38,37.45,,,,,
28,28.18,38,37.45,,,,,
28,28.18,38,37.45,,,,,
28,28.18,38,37.46,,,,,
28,28.18,38,37.46,,,,,
28,28.18,38,37.46,,,,,
28,28.18,38,37.46,,,,,
28,28.18,38,37.46,,,,,
28,28.17,38,37.46,,,,,
28,28.17,38,37.47,,,,,
28,28.17,38,37.47,,,,,
28,28.17,38,37.47,,,,,
28,28.17,38,37.47,,,,,
28,28.17,38,37.47,,,,,
28,28.17,38,37.47,,,,,
28,28.17,38,37.48,,,,,
28,28.17,38,37.48,,,,,
28,28.17,38,37.48,,,,,
28,28.17,38,37.48,,,,,
28,28.17,38,37.48,,,,,
28,28.17,38,37.48,,,,,
28,28.17,38,37.49,,,,,
28,28.17,38,37.49,,,,,
28,28.17,38,37.49,,,,,
28,28.17,38,37.49,,,,,
28,28.17,38,37.49,,,,,
28,28.17,38,37.49,,,,,
28,28.17,38,37.5,,,,,
28,28.17,38,37.5,,,,,
28,28.17,38,37.5,,,,,
28,28.17,38,37.5,,,,,
28,28.17,38,37.5,,,,,
28,28.17,38,37.5,,,,,
28,28.17,38,37.51,,,,,
28,28.17,38,37.51,,,,,
28,28.16,38,37.51,,,,,
28,28.16,38,37.51,,,,,
28,28.16,38,37.51,,,,,
28,28.16,38,37.51,,,,,
28,28.16,38,37.52,,,,,
28,28.16,38,37.52,,,,,
28,28.16,38,37.52,,,,,
28,28.16,38,37.52,,,,,
28,28.16,38,37.52,,,,,
28,28.16,38,37.52,,,,,
28,28.16,38,37.52,,,,,
28,28.16,38,37.53,,,,,
28,28.16,38,37.53,,,,,
28,28.16,38,37.53,,,,,
28,28.16,38,37.53,,,,,
28,28.16,38,37.53,,,,,
28,28.16,38,37.53,,,,,
28,28.16,38,37.53,,,,,
28,28.16,38,37.54,,,,,
28,28.16,38,37.54,,,,,
28,28.16,38,37.54,,,,,
28,28.16,38,37.54,,,,,
28,28.16,38,37.54,,,,,
28,28.16,38,37.54,,,,,
28,28.16,38,37.54,,,,,
28,28.16,38,37.55,,,,,
28,28.16,38,37.55,,,,,
28,28.16,38,37.55,,,,,
28,28.16,38,37.55,,,,,
28,28.16,38,37.55,,,,,
28,28.15,38,37.55,,,,,
28,28.15,38,37.55,,,,,
28,28.15,38,37.56,,,,,
28,28.15,38,37.56,,,,,
28,28.15,38,37.56,,,,,
28,28.15,38,37.56,,,,,
28,28.15,38,37.56,,,,,
28,28.15,38,37.56,,,,,
28,28.15,38,37.56,,,,,
28,28.15,38,37.57,,,,,
28,28.15,38,37.57,,,,,
28,28.15,38,37.57,,,,,
28,28.15,38,37.57,,,,,
28,28.15,38,37.57,,,,,
28,28.15,38,37.57,,,,,
28,28.15,38,37.57,,,,,
28,28.15,38,37.57,,,,,
28,28.15,38,37.58,,,,,
28,28.15,38,37.58,,,,,
28,28.15,38,37.58,,,,,
28,28.15,38,37.58,,,,,
28,28.15,38,37.58,,,,,
28,28.15,38,37.58,,,,,
28,28.15,38,37.58,,,,,
28,28.15,38,37.58,,,,,
28,28.15,38,37.59,,,,,
28,28.15,38,37.59,,,,,
28,28.15,38,37.59,,,,,
28,28.15,38,37.59,,,,,
28,28.15,38,37.59,,,,,
28,28.15,38,37.59,,,,,
28,28.15,38,37.59,,,,,
28,28.15,38,37.59,,,,,
28,28.14,38,37.6,,,,,
28,28.14,38,37.6,,,,,
28,28.14,38,37.6,,,,,
28,28.14,38,37.6,,,,,
28,28.14,38,37.6,,,,,
28,28.14,38,37.6,,,,,
28,28.14,38,37.6,,,,,
28,28.14,38,37.6,,,,,
28,28.14,38,37.61,,,,,
28,28.14,38,37.61,,,,,
28,28.14,38,37.61,,,,,
28,28.14,38,37.61,,,,,
28,28.14,38,37.61,,,,,
28,28.14,38,37.61,,,,,
28,28.14,38,37.61,,,,,
